exp.name,ip,input,layout,description
MED12.3,SRR058985,SRR058985,SINGLE,TF
MEN1.1,SRR494120,SRR494120,SINGLE,TF
MEN1.2,SRR2571529,SRR2571529,SINGLE,TF
MEN1.3,SRR2571532,SRR2571532,SINGLE,TF
MSL1.1,SRR1258421,SRR1258421,SINGLE,TF
MSL1.2,SRR1258422,SRR1258422,SINGLE,TF
MSL1.3,SRR1068232,SRR1068232,SINGLE,TF
MSL2.1,SRR1258423,SRR1258423,SINGLE,TF
MSL2.2,SRR1258424,SRR1258424,SINGLE,TF
MTF2.1,SRR034100,SRR034100,SINGLE,TF
MTF2.2,SRR035237,SRR035237,SINGLE,TF
MYC.2,SRR828749,SRR828749,SINGLE,TF
MYC.3,SRR828748,SRR828748,SINGLE,TF
MYC.4,SRR643538,SRR643538,SINGLE,TF
MYOD1.1,SRR064937,SRR064937,SINGLE,TF
MYOD1.10,SRR1751372,SRR1751372,SINGLE,TF
MYOD1.2,SRR1751361,SRR1751361,SINGLE,TF
NANOG.10,SRR1163498,SRR1163498,SINGLE,TF
NANOG.11,SRR1163499,SRR1163499,SINGLE,TF
NANOG.12,SRR1168382,SRR1168382,SINGLE,TF
NCAPD3.1,SRR361424,SRR361424,SINGLE,TF
NCAPD3.2,SRR361425,SRR361425,SINGLE,TF
NCOA3.1,SRR486152,SRR486152,SINGLE,TF
NELFA.1,SRR036737,SRR036737,SINGLE,TF
NEUROD1.1,SRR1765727,SRR1765727,SINGLE,TF
NEUROD1.2,SRR1765728,SRR1765728,SINGLE,TF
NEUROD2.1,SRR1751369,SRR1751369,SINGLE,TF
NEUROD2.2,SRR1751370,SRR1751370,SINGLE,TF
NEUROD2.3,SRR1751371,SRR1751371,SINGLE,TF
NFYA.1,SRR074398,SRR074398,SINGLE,TF
NFYA.2,SRR074399,SRR074399,SINGLE,TF
NFYA.3,SRR1239519,SRR1239519,SINGLE,TF
NFYB.1,SRR1239520,SRR1239520,SINGLE,TF
NFYC.1,SRR1239521,SRR1239521,SINGLE,TF
NIPBL.1,SRR058990,SRR058990,SINGLE,TF
NIPBL.2,SRR058989,SRR058989,SINGLE,TF
NR0B1.1,SRR2141930,SRR2141930,SINGLE,TF
NR0B1.2,SRR2141931,SRR2141931,SINGLE,TF
NR4A1.1,SRR1792513,SRR1792513,SINGLE,TF
NR4A1.2,SRR1792516,SRR1792516,SINGLE,TF
NR5A2.1,SRR034832,SRR034832,SINGLE,TF
NRF1.1,SRR1973542,SRR1973542,SINGLE,TF
NRF1.2,SRR1973543,SRR1973543,SINGLE,TF
NRF1.3,SRR1973545,SRR1973545,SINGLE,TF
NSL1.1,SRR1068233,SRR1068233,SINGLE,TF
OLIG2.1,SRR1583890,SRR1583890,SINGLE,TF
OTX2.2,SRR1202458,SRR1202458,SINGLE,TF
OTX2.3,SRR1202482,SRR1202482,SINGLE,TF
OTX2.4,SRR1202484,SRR1202484,SINGLE,TF
PHC1.1,SRR1163496,SRR1163496,SINGLE,TF
PHC1.2,SRR1163497,SRR1163497,SINGLE,TF
PHF19.1,SRR171278,SRR171278,SINGLE,TF
PHF19.2,SRR171279,SRR171279,SINGLE,TF
PHF19.3,SRR592590,SRR592590,SINGLE,TF
PKNOX1.1,SRR1652476,SRR1652476,SINGLE,TF
POLR2A.1,SRR036144,SRR036144,SINGLE,TF
POLR2A.10,SRR036749,SRR036749,SINGLE,TF
POLR2A.100,SRR1378727,SRR1378727,SINGLE,TF
POLR2B.1,SRR1391209,SRR1391209,SINGLE,TF
POU3F1.1,SRR1151402,SRR1151402,SINGLE,TF
POU3F1.2,SRR2060225,SRR2060225,SINGLE,TF
POU3F2.1,SRR630012,SRR630012,SINGLE,TF
POU3F2.2,SRR630009,SRR630009,SINGLE,TF
POU3F2.3,SRR630015,SRR630015,SINGLE,TF
POU5F1.10,SRR643835,SRR643835,SINGLE,TF
POU5F1.11,SRR643833,SRR643833,SINGLE,TF
POU5F1.12,SRR627779,SRR627779,SINGLE,TF
PRDM14.1,SRR072985,SRR072985,SINGLE,TF
PRDM14.2,SRR072984,SRR072984,SINGLE,TF
PRDM14.3,SRR623032,SRR623032,SINGLE,TF
PRDM4.1,SRR923441,SRR923441,SINGLE,TF
PRDM4.2,SRR923444,SRR923444,SINGLE,TF
PRDM4.3,SRR923442,SRR923442,SINGLE,TF
PWP1.1,SRR1514599,SRR1514599,SINGLE,TF
RAD21.1,SRR065243,SRR065243,SINGLE,TF
RAD21.2,SRR065242,SRR065242,SINGLE,TF
RAD21.3,SRR361432,SRR361432,SINGLE,TF
RAD23B.1,SRR1702685,SRR1702685,SINGLE,TF
RAD23B.2,SRR1702689,SRR1702689,SINGLE,TF
RAG1.1,SRR2048318,SRR2048318,SINGLE,TF
RAG1.2,SRR2048319,SRR2048319,SINGLE,TF
RAG1.3,SRR2048320,SRR2048320,SINGLE,TF
RARA.1,SRR039166,SRR039166,SINGLE,TF
RARA.2,SRR039160,SRR039160,SINGLE,TF
RARA.3,SRR404403,SRR404403,SINGLE,TF
RBBP5.1,SRR060172,SRR060172,SINGLE,TF
RBBP5.2,SRR390393,SRR390393,SINGLE,TF
RBBP5.3,SRR390402,SRR390402,SINGLE,TF
RCOR1.1,SRR388197,SRR388197,SINGLE,TF
REST.1,SRR094942,SRR094942,SINGLE,TF
REST.2,SRR122473,SRR122473,SINGLE,TF
REST.3,SRR099004,SRR099004,SINGLE,TF
RNF2.1,SRR094941,SRR094941,SINGLE,TF
RNF2.10,SRR908379,SRR908379,SINGLE,TF
RNF2.11,SRR579288,SRR579288,SINGLE,TF
RUNX1.1,SRR216921,SRR216921,SINGLE,TF
RUNX1.2,SRR216922,SRR216922,SINGLE,TF
RUNX1.3,SRR216923,SRR216923,SINGLE,TF
RUVBL1.1,SRR1329214,SRR1329214,SINGLE,TF
RXRA.1,SRR1792512,SRR1792512,SINGLE,TF
RXRA.2,SRR1792515,SRR1792515,SINGLE,TF
RYBP.1,SRR620207,SRR620207,SINGLE,TF
RYBP.2,SRR1973557,SRR1973557,SINGLE,TF
SETDB1.1,SRR031671,SRR031671,SINGLE,TF
SETDB1.2,SRR031670,SRR031670,SINGLE,TF
SETDB1.3,SRR031669,SRR031669,SINGLE,TF
SIN3A.1,SRR070930,SRR070930,SINGLE,TF
SIN3A.2,SRR070929,SRR070929,SINGLE,TF
SIRT6.1,SRR1799177,SRR1799177,SINGLE,TF
SIRT6.2,SRR1799178,SRR1799178,SINGLE,TF
SIRT6.3,SRR1799179,SRR1799179,SINGLE,TF
SMAD1/5.1,SRR2088070,SRR2088070,SINGLE,TF
SMAD1/5.2,SRR2088071,SRR2088071,SINGLE,TF
SMAD1/5.3,SRR2088073,SRR2088073,SINGLE,TF
SMAD2.1,SRR065176,SRR065176,SINGLE,TF
SMAD2.2,SRR065175,SRR065175,SINGLE,TF
SMAD2.3,SRR065174,SRR065174,SINGLE,TF
SMAD2/3.1,SRR064929,SRR064929,SINGLE,TF
SMAD2/3.2,SRR1047786,SRR1047786,SINGLE,TF
SMAD3.1,SRR064922,SRR064922,SINGLE,TF
SMAD3.2,SRR064921,SRR064921,SINGLE,TF
SMAD3.3,SRR064936,SRR064936,SINGLE,TF
SMARCA4.10,SRR2001979,SRR2001979,SINGLE,TF
SMARCA4.11,SRR2001980,SRR2001980,SINGLE,TF
SMARCA4.12,SRR2001981,SRR2001981,SINGLE,TF
SMC1A.1,SRR316195,SRR316195,SINGLE,TF
SMC1A.2,SRR316194,SRR316194,SINGLE,TF
SMC1A.3,SRR2136343,SRR2136343,SINGLE,TF
SOX17.1,SRR643826,SRR643826,SINGLE,TF
SOX17.2,SRR643827,SRR643827,SINGLE,TF
SOX17.3,SRR643828,SRR643828,SINGLE,TF
SOX2.10,SRR630006,SRR630006,SINGLE,TF
SOX2.11,SRR630016,SRR630016,SINGLE,TF
SOX2.12,SRR630019,SRR630019,SINGLE,TF
SP1.1,SRR1032194,SRR1032194,SINGLE,TF
SPI1.1,SRR1176708,SRR1176708,SINGLE,TF
SPI1.2,SRR1176709,SRR1176709,SINGLE,TF
SPI1.3,SRR1176710,SRR1176710,SINGLE,TF
STAG1.1,SRR445740,SRR445740,SINGLE,TF
STAG1.2,SRR500929,SRR500929,SINGLE,TF
STAG1.3,SRR2136327,SRR2136327,SINGLE,TF
STAG2.1,SRR445739,SRR445739,SINGLE,TF
STAG2.2,SRR500930,SRR500930,SINGLE,TF
SUPT5H.1,SRR036738,SRR036738,SINGLE,TF
SUPT5H.2,SRR643544,SRR643544,SINGLE,TF
SUPT5H.3,SRR643565,SRR643565,SINGLE,TF
SUZ12.10,SRR064966,SRR064966,SINGLE,TF
SUZ12.11,SRR064967,SRR064967,SINGLE,TF
SUZ12.12,SRR908381,SRR908381,SINGLE,TF
T.1,SRR1168460,SRR1168460,SINGLE,TF
T.2,SRR1168501,SRR1168501,SINGLE,TF
T.3,SRR1168502,SRR1168502,SINGLE,TF
TAF1.1,SRR331058,SRR331058,SINGLE,TF
TAF1.2,SRR414931,SRR414931,SINGLE,TF
TAF3.1,SRR331054,SRR331054,SINGLE,TF
TAL1.1,SRR858755,SRR858755,SINGLE,TF
TAL1.2,SRR858756,SRR858756,SINGLE,TF
TAL1.3,SRR1209639,SRR1209639,SINGLE,TF
TBP.1,SRR331062,SRR331062,SINGLE,TF
TBP.2,SRR057606,SRR057606,SINGLE,TF
TBP.3,SRR057607,SRR057607,SINGLE,TF
TBX3.1,SRR032470,SRR032470,SINGLE,TF
TBX3.2,SRR771236,SRR771236,SINGLE,TF
TBX3.3,SRR1536076,SRR1536076,SINGLE,TF
TCF12.1,SRR1047787,SRR1047787,SINGLE,TF
TCF12.2,SRR1047789,SRR1047789,SINGLE,TF
TET1.1,SRR070928,SRR070928,SINGLE,TF
TET1.10,SRR096332,SRR096332,SINGLE,TF
TET1.11,SRR096331,SRR096331,SINGLE,TF
TET2.1,SRR597871,SRR597871,SINGLE,TF
TET3.1,SRR1239295,SRR1239295,SINGLE,TF
TET3.2,SRR1714252,SRR1714252,SINGLE,TF
TET3.3,SRR1714253,SRR1714253,SINGLE,TF
TFAP2C.1,SRR1068151,SRR1068151,SINGLE,TF
TFE3.1,SRR531426,SRR531426,SINGLE,TF
TFE3.2,SRR531428,SRR531428,SINGLE,TF
TFE3.3,SRR531427,SRR531427,SINGLE,TF
TGIF1.1,SRR1178488,SRR1178488,SINGLE,TF
TGIF2.1,SRR1796001,SRR1796001,SINGLE,TF
THAP11.1,SRR1014799,SRR1014799,SINGLE,TF
TOP2A.1,SRR799669,SRR799669,SINGLE,TF
TOP2A.2,SRR799670,SRR799670,SINGLE,TF
TRIM28.1,SRR327035,SRR327035,SINGLE,TF
TRIM28.10,SRR2014801,SRR2014801,SINGLE,TF
TRIM28.11,SRR2098963,SRR2098963,SINGLE,TF
UTF1.1,SRR530857,SRR530857,SINGLE,TF
UTF1.2,SRR1067904,SRR1067904,SINGLE,TF
UTF1.3,SRR1067907,SRR1067907,SINGLE,TF
WDR5.1,SRR060174,SRR060174,SINGLE,TF
WDR5.2,SRR060173,SRR060173,SINGLE,TF
YY1.1,SRR073464,SRR073464,SINGLE,TF
YY1.10,SRR1991261,SRR1991261,SINGLE,TF
YY1.11,SRR1991262,SRR1991262,SINGLE,TF
ZFP42.1,SRR3379307,SRR3379307,SINGLE,TF
ZFP57.1,SRR327033,SRR327033,SINGLE,TF
ZFP57.10,SRR1734493,SRR1734493,SINGLE,TF
ZFP57.11,SRR1734495,SRR1734495,SINGLE,TF
ZIC2.1,SRR1569082,SRR1569082,SINGLE,TF
ZIC2.2,SRR1569083,SRR1569083,SINGLE,TF
ZIC3.1,SRR1734331,SRR1734331,SINGLE,TF
ZNF143.1,SRR520399,SRR520399,SINGLE,TF
ZNF322A.1,SRR772088,SRR772088,SINGLE,TF
ZNF384.1,SRR574796,SRR574796,SINGLE,TF
TET1.2,SRR070927,SRR070927,SINGLE,TF
TET1.3,SRR070926,SRR070926,SINGLE,TF
TET1.4,SRR070925,SRR070925,SINGLE,TF
TET1.5,SRR185879,SRR185879,SINGLE,TF
TET1.6,SRR185878,SRR185878,SINGLE,TF
TET1.7,SRR185877,SRR185877,SINGLE,TF
TET1.8,SRR185876,SRR185876,SINGLE,TF
TET1.9,SRR096333,SRR096333,SINGLE,TF
TET1.12,SRR096330,SRR096330,SINGLE,TF
EZH2.2,SRR034189,SRR034189,SINGLE,TF
SUZ12.3,SRR034190,SRR034190,SINGLE,TF
CTCF.3,SRR074390,SRR074390,SINGLE,TF
EP300.3,SRR058610,SRR058610,SINGLE,TF
CTCF.4,SRR058992,SRR058992,SINGLE,TF
CTCF.5,SRR058991,SRR058991,SINGLE,TF
CTCF.6,SRR032103,SRR032103,SINGLE,TF
EP300.4,SRR066789,SRR066789,SINGLE,TF
EP300.5,SRR066788,SRR066788,SINGLE,TF
MED1.3,SRR058987,SRR058987,SINGLE,TF
SOX2.3,SRR050356,SRR050356,SINGLE,TF
YY1.2,SRR073463,SRR073463,SINGLE,TF
JARID2.2,SRR035051,SRR035051,SINGLE,TF
JARID2.3,SRR035050,SRR035050,SINGLE,TF
JARID2.4,SRR034101,SRR034101,SINGLE,TF
POU5F1.3,SRR060171,SRR060171,SINGLE,TF
SMAD3.4,SRR064935,SRR064935,SINGLE,TF
SMAD3.5,SRR064934,SRR064934,SINGLE,TF
SMAD3.6,SRR064933,SRR064933,SINGLE,TF
SUZ12.6,SRR035053,SRR035053,SINGLE,TF
SUZ12.7,SRR035052,SRR035052,SINGLE,TF
SETDB1.4,SRR031683,SRR031683,SINGLE,TF
MBD3.2,SRR341120,SRR341120,SINGLE,TF
MBD3.3,SRR341121,SRR341121,SINGLE,TF
MBD3.4,SRR341122,SRR341122,SINGLE,TF
YY1.3,SRR341113,SRR341113,SINGLE,TF
CTCF.7,SRR299029,SRR299029,SINGLE,TF
CTCF.8,SRR299030,SRR299030,SINGLE,TF
CTCF.9,SRR299031,SRR299031,SINGLE,TF
SUZ12.8,SRR171276,SRR171276,SINGLE,TF
SUZ12.9,SRR171277,SRR171277,SINGLE,TF
H2AZ.2,SRR414944,SRR414944,SINGLE,TF
H2AZ.3,SRR414954,SRR414954,SINGLE,TF
H2AZ.4,SRR414961,SRR414961,SINGLE,TF
RARA.4,SRR404404,SRR404404,SINGLE,TF
EZH2.3,SRR501767,SRR501767,SINGLE,TF
EZH2.4,SRR501768,SRR501768,SINGLE,TF
EZH2.5,SRR501769,SRR501769,SINGLE,TF
EZH2.6,SRR501770,SRR501770,SINGLE,TF
EZH2.7,SRR333604,SRR333604,SINGLE,TF
CTCF.12,SRR387389,SRR387389,SINGLE,TF
H2AZ.5,SRR520335,SRR520335,SINGLE,TF
TBP.4,SRR520337,SRR520337,SINGLE,TF
REST.4,SRR099006,SRR099006,SINGLE,TF
REST.5,SRR099005,SRR099005,SINGLE,TF
POU5F1.4,SRR442144,SRR442144,SINGLE,TF
KDM5A.4,SRR171700,SRR171700,SINGLE,TF
SMARCA4.2,SRR445747,SRR445747,SINGLE,TF
POU5F1.5,SRR643831,SRR643831,SINGLE,TF
SOX2.4,SRR643821,SRR643821,SINGLE,TF
SOX2.5,SRR643822,SRR643822,SINGLE,TF
POU5F1.6,SRR643834,SRR643834,SINGLE,TF
POU5F1.7,SRR643832,SRR643832,SINGLE,TF
POU5F1.8,SRR643830,SRR643830,SINGLE,TF
POU5F1.9,SRR643829,SRR643829,SINGLE,TF
SOX2.6,SRR643824,SRR643824,SINGLE,TF
SOX2.7,SRR643823,SRR643823,SINGLE,TF
SOX17.4,SRR643825,SRR643825,SINGLE,TF
MBD3.5,SRR769560,SRR769560,SINGLE,TF
RNF2.2,SRR496519,SRR496519,SINGLE,TF
RNF2.3,SRR496523,SRR496523,SINGLE,TF
RNF2.4,SRR496525,SRR496525,SINGLE,TF
RNF2.5,SRR496524,SRR496524,SINGLE,TF
RNF2.6,SRR496518,SRR496518,SINGLE,TF
KDM2B.2,SRR496526,SRR496526,SINGLE,TF
KDM2B.3,SRR496516,SRR496516,SINGLE,TF
NANOG.4,SRR771238,SRR771238,SINGLE,TF
HIST1H1D.4,SRR828746,SRR828746,SINGLE,TF
HIST1H1D.5,SRR828747,SRR828747,SINGLE,TF
HIST1H1D.6,SRR828745,SRR828745,SINGLE,TF
SOX2.8,SRR630013,SRR630013,SINGLE,TF
SOX2.9,SRR630010,SRR630010,SINGLE,TF
POU3F2.4,SRR630018,SRR630018,SINGLE,TF
TRIM28.2,SRR611530,SRR611530,SINGLE,TF
TRIM28.3,SRR611529,SRR611529,SINGLE,TF
RNF2.7,SRR568023,SRR568023,SINGLE,TF
KDM2B.4,SRR568018,SRR568018,SINGLE,TF
KDM2B.5,SRR568021,SRR568021,SINGLE,TF
KDM2B.6,SRR568024,SRR568024,SINGLE,TF
RNF2.8,SRR568020,SRR568020,SINGLE,TF
MBD1.4,SRR527149,SRR527149,SINGLE,TF
MBD1.5,SRR527126,SRR527126,SINGLE,TF
MBD1.6,SRR527146,SRR527146,SINGLE,TF
MBD1.7,SRR527160,SRR527160,SINGLE,TF
MBD1.8,SRR527144,SRR527144,SINGLE,TF
MBD3.6,SRR696667,SRR696667,SINGLE,TF
MECP2.4,SRR527162,SRR527162,SINGLE,TF
MECP2.5,SRR527155,SRR527155,SINGLE,TF
RNF2.9,SRR908380,SRR908380,SINGLE,TF
JARID2.5,SRR908374,SRR908374,SINGLE,TF
REST.6,SRR908377,SRR908377,SINGLE,TF
JARID2.6,SRR908373,SRR908373,SINGLE,TF
REST.7,SRR908378,SRR908378,SINGLE,TF
SUZ12.13,SRR908382,SRR908382,SINGLE,TF
MBD2.4,SRR669319,SRR669319,SINGLE,TF
MECP2.6,SRR669317,SRR669317,SINGLE,TF
MBD2.5,SRR669315,SRR669315,SINGLE,TF
EP300.6,SRR587321,SRR587321,SINGLE,TF
PHF19.4,SRR592591,SRR592591,SINGLE,TF
EP300.7,SRR587329,SRR587329,SINGLE,TF
SUZ12.14,SRR620206,SRR620206,SINGLE,TF
SUZ12.14,SRR592586,SRR592586,SINGLE,TF
EP300.8,SRR587330,SRR587330,SINGLE,TF
EP300.9,SRR587322,SRR587322,SINGLE,TF
MBD3.7,SRR950365,SRR950365,SINGLE,TF
MBD3.8,SRR950364,SRR950364,SINGLE,TF
PRDM4.4,SRR923443,SRR923443,SINGLE,TF
SUZ12.15,SRR390394,SRR390394,SINGLE,TF
H2AZ.6,SRR390410,SRR390410,SINGLE,TF
SUZ12.16,SRR390403,SRR390403,SINGLE,TF
H2AZ.7,SRR390384,SRR390384,SINGLE,TF
H2AZ.8,SRR390415,SRR390415,SINGLE,TF
YY1.4,SRR402771,SRR402771,SINGLE,TF
YY1.5,SRR402770,SRR402770,SINGLE,TF
EZH2.8,SRR579282,SRR579282,SINGLE,TF
EZH2.9,SRR579283,SRR579283,SINGLE,TF
KDM2B.7,SRR579287,SRR579287,SINGLE,TF
KDM2B.8,SRR579286,SRR579286,SINGLE,TF
RNF2.12,SRR579289,SRR579289,SINGLE,TF
CTCF.13,SRR207081,SRR207081,SINGLE,TF
EP300.12,SRR207085,SRR207085,SINGLE,TF
RNF2.13,SRR620204,SRR620204,SINGLE,TF
SUZ12.17,SRR620206,SRR620206,SINGLE,TF
H2AZ.9,SRR627796,SRR627796,SINGLE,TF
RARA.5,SRR627785,SRR627785,SINGLE,TF
SUZ12.18,SRR627791,SRR627791,SINGLE,TF
SUZ12.19,SRR627783,SRR627783,SINGLE,TF
RARA.6,SRR627793,SRR627793,SINGLE,TF
RBBP5.4,SRR627782,SRR627782,SINGLE,TF
POU5F1.13,SRR627792,SRR627792,SINGLE,TF
POU5F1.14,SRR627787,SRR627787,SINGLE,TF
POU5F1.15,SRR627784,SRR627784,SINGLE,TF
RBBP5.5,SRR627790,SRR627790,SINGLE,TF
MED1.4,SRR620143,SRR620143,SINGLE,TF
MED1.5,SRR620141,SRR620141,SINGLE,TF
PHF19.5,SRR592994,SRR592994,SINGLE,TF
RAD21.4,SRR361431,SRR361431,SINGLE,TF
SUZ12.20,SRR623037,SRR623037,SINGLE,TF
SUZ12.21,SRR623038,SRR623038,SINGLE,TF
SUZ12.22,SRR530860,SRR530860,SINGLE,TF
SUZ12.23,SRR530864,SRR530864,SINGLE,TF
SUZ12.24,SRR530863,SRR530863,SINGLE,TF
SUZ12.25,SRR530861,SRR530861,SINGLE,TF
POU5F1.16,SRR713340,SRR713340,SINGLE,TF
NANOG.5,SRR713342,SRR713342,SINGLE,TF
SOX2.13,SRR713341,SRR713341,SINGLE,TF
SUZ12.26,SRR713345,SRR713345,SINGLE,TF
NANOG.6,SRR643539,SRR643539,SINGLE,TF
POU5F1.17,SRR643540,SRR643540,SINGLE,TF
MYC.5,SRR643550,SRR643550,SINGLE,TF
NANOG.7,SRR643551,SRR643551,SINGLE,TF
POU5F1.18,SRR643552,SRR643552,SINGLE,TF
EZH2.13,SRR643554,SRR643554,SINGLE,TF
MYC.6,SRR643559,SRR643559,SINGLE,TF
NANOG.8,SRR643560,SRR643560,SINGLE,TF
POU5F1.19,SRR643561,SRR643561,SINGLE,TF
NANOG.9,SRR931092,SRR931092,SINGLE,TF
EZH2.14,SRR942884,SRR942884,SINGLE,TF
EZH2.15,SRR942885,SRR942885,SINGLE,TF
EZH2.16,SRR946802,SRR946802,SINGLE,TF
EZH2.17,SRR946803,SRR946803,SINGLE,TF
SUZ12.27,SRR946808,SRR946808,SINGLE,TF
SUZ12.28,SRR946809,SRR946809,SINGLE,TF
CTCF.14,SRR954565,SRR954565,SINGLE,TF
EZH2.18,SRR976060,SRR976060,SINGLE,TF
EZH2.19,SRR976067,SRR976067,SINGLE,TF
EZH2.20,SRR976068,SRR976068,SINGLE,TF
SOX2.14,SRR1068150,SRR1068150,SINGLE,TF
MBD3.9,SRR1014798,SRR1014798,SINGLE,TF
JARID2.7,SRR1025575,SRR1025575,SINGLE,TF
JARID2.8,SRR1025576,SRR1025576,SINGLE,TF
JARID2.9,SRR1025577,SRR1025577,SINGLE,TF
JARID2.12,SRR1025582,SRR1025582,SINGLE,TF
JARID2.13,SRR1025583,SRR1025583,SINGLE,TF
JARID2.14,SRR1025584,SRR1025584,SINGLE,TF
KMT2B.4,SRR1040796,SRR1040796,SINGLE,TF
RNF2.14,SRR1056207,SRR1056207,SINGLE,TF
SOX2.15,SRR185892,SRR185892,SINGLE,TF
SOX2.16,SRR185893,SRR185893,SINGLE,TF
SOX2.17,SRR185894,SRR185894,SINGLE,TF
SOX2.18,SRR185895,SRR185895,SINGLE,TF
SOX2.19,SRR185896,SRR185896,SINGLE,TF
SOX2.20,SRR185897,SRR185897,SINGLE,TF
CTCF.15,SRR524848,SRR524848,SINGLE,TF
CTCF.16,SRR524850,SRR524850,SINGLE,TF
H2AZ.12,SRR536865,SRR536865,SINGLE,TF
MYC.7,SRR915917,SRR915917,SINGLE,TF
SOX2.21,SRR1118256,SRR1118256,SINGLE,TF
SOX2.22,SRR1118257,SRR1118257,SINGLE,TF
SOX2.23,SRR1118258,SRR1118258,SINGLE,TF
SOX2.24,SRR1118259,SRR1118259,SINGLE,TF
NANOG.13,SRR1168384,SRR1168384,SINGLE,TF
NANOG.14,SRR1168385,SRR1168385,SINGLE,TF
NANOG.15,SRR1168386,SRR1168386,SINGLE,TF
NANOG.16,SRR1168387,SRR1168387,SINGLE,TF
NANOG.17,SRR1168388,SRR1168388,SINGLE,TF
NANOG.18,SRR1168389,SRR1168389,SINGLE,TF
ESRRB.5,SRR1201338,SRR1201338,SINGLE,TF
ESRRB.6,SRR1201339,SRR1201339,SINGLE,TF
CTCF.17,SRR489719,SRR489719,SINGLE,TF
EP300.13,SRR489723,SRR489723,SINGLE,TF
REST.8,SRR922246,SRR922246,SINGLE,TF
POU5F1.20,SRR1047804,SRR1047804,SINGLE,TF
MED1.6,SRR997309,SRR997309,SINGLE,TF
POU5F1.21,SRR1047805,SRR1047805,SINGLE,TF
KLF4.5,SRR997313,SRR997313,SINGLE,TF
MED1.7,SRR997314,SRR997314,SINGLE,TF
KAT8.4,SRR1258420,SRR1258420,SINGLE,TF
KDM2B.9,SRR1035590,SRR1035590,SINGLE,TF
KDM2B.12,SRR1035593,SRR1035593,SINGLE,TF
KDM2B.13,SRR1035594,SRR1035594,SINGLE,TF
KDM2B.14,SRR1035595,SRR1035595,SINGLE,TF
RNF2.15,SRR1035596,SRR1035596,SINGLE,TF
RNF2.16,SRR1035597,SRR1035597,SINGLE,TF
