exp.name,ip,input,layout,description
CHRM2.5,SRR1514333,SRR1514333,SINGLE,TF
CHRM2.6,SRR1514335,SRR1514335,SINGLE,TF
POU5F1.28,SRR1514337,SRR1514337,SINGLE,TF
NANOG.19,SRR1514338,SRR1514338,SINGLE,TF
SOX2.26,SRR1514340,SRR1514340,SINGLE,TF
MED12.4,SRR1514343,SRR1514343,SINGLE,TF
TRIM28.5,SRR2014796,SRR2014796,SINGLE,TF
TRIM28.6,SRR2014797,SRR2014797,SINGLE,TF
TRIM28.7,SRR2014798,SRR2014798,SINGLE,TF
TRIM28.8,SRR2014799,SRR2014799,SINGLE,TF
TRIM28.9,SRR2014800,SRR2014800,SINGLE,TF
ATRX.13,SRR2014813,SRR2014813,SINGLE,TF
ATRX.14,SRR2014815,SRR2014815,SINGLE,TF
ATRX.15,SRR2014817,SRR2014817,SINGLE,TF
ATRX.16,SRR2014821,SRR2014821,SINGLE,TF
POU5F1.29,SRR1699457,SRR1699457,SINGLE,TF
POU5F1.30,SRR1699458,SRR1699458,SINGLE,TF
RNF2.25,SRR1699459,SRR1699459,SINGLE,TF
RNF2.26,SRR1699460,SRR1699460,SINGLE,TF
RNF2.27,SRR1699461,SRR1699461,SINGLE,TF
CBX7.4,SRR1699463,SRR1699463,SINGLE,TF
YY1.6,SRR1991255,SRR1991255,SINGLE,TF
YY1.7,SRR1991256,SRR1991256,SINGLE,TF
YY1.8,SRR1991258,SRR1991258,SINGLE,TF
YY1.9,SRR1991259,SRR1991259,SINGLE,TF
YY1.12,SRR1991263,SRR1991263,SINGLE,TF
EZH2.27,SRR1515251,SRR1515251,SINGLE,TF
TBX3.4,SRR1536077,SRR1536077,SINGLE,TF
T.4,SRR1583888,SRR1583888,SINGLE,TF
T.5,SRR1583889,SRR1583889,SINGLE,TF
CHRM2.7,SRR1583891,SRR1583891,SINGLE,TF
RUNX1.4,SRR1736984,SRR1736984,SINGLE,TF
RUNX1.5,SRR1736985,SRR1736985,SINGLE,TF
RUNX1.6,SRR1736986,SRR1736986,SINGLE,TF
RUNX1.7,SRR1736987,SRR1736987,SINGLE,TF
RUNX1.8,SRR1736988,SRR1736988,SINGLE,TF
RUNX1.9,SRR1736989,SRR1736989,SINGLE,TF
MYOD1.3,SRR1751362,SRR1751362,SINGLE,TF
MYOD1.4,SRR1751363,SRR1751363,SINGLE,TF
MYOD1.5,SRR1751364,SRR1751364,SINGLE,TF
MYOD1.6,SRR1751365,SRR1751365,SINGLE,TF
MYOD1.7,SRR1751366,SRR1751366,SINGLE,TF
MYOD1.8,SRR1751367,SRR1751367,SINGLE,TF
MYOD1.9,SRR1751368,SRR1751368,SINGLE,TF
KLF4.6,SRR2001969,SRR2001969,SINGLE,TF
H2AZ.13,SRR2001973,SRR2001973,SINGLE,TF
KLF4.7,SRR2001975,SRR2001975,SINGLE,TF
MBD3.12,SRR2001977,SRR2001977,SINGLE,TF
H2AZ.14,SRR2001978,SRR2001978,SINGLE,TF
SMARCA4.13,SRR2001982,SRR2001982,SINGLE,TF
SMARCA4.14,SRR2001983,SRR2001983,SINGLE,TF
ATRX.17,SRR2097343,SRR2097343,SINGLE,TF
DAXX.6,SRR2097344,SRR2097344,SINGLE,TF
T.6,SRR2102891,SRR2102891,SINGLE,TF
STAG1.4,SRR2136357,SRR2136357,SINGLE,TF
SMC1A.4,SRR2136373,SRR2136373,SINGLE,TF
STAG1.5,SRR2136427,SRR2136427,SINGLE,TF
SMC1A.5,SRR2136437,SRR2136437,SINGLE,TF
SMC1A.6,SRR2136452,SRR2136452,SINGLE,TF
POU5F1.31,SRR2144623,SRR2144623,SINGLE,TF
POU5F1.32,SRR2144624,SRR2144624,SINGLE,TF
NANOG.20,SRR2144631,SRR2144631,SINGLE,TF
NANOG.21,SRR2144634,SRR2144634,SINGLE,TF
NANOG.22,SRR2144635,SRR2144635,SINGLE,TF
NANOG.23,SRR2144636,SRR2144636,SINGLE,TF
SOX2.27,SRR2144644,SRR2144644,SINGLE,TF
SOX2.28,SRR2144648,SRR2144648,SINGLE,TF
HDAC1.5,SRR1178489,SRR1178489,SINGLE,TF
SMAD3.7,SRR1178490,SRR1178490,SINGLE,TF
JARID2.18,SRR1548848,SRR1548848,SINGLE,TF
SUZ12.53,SRR1548851,SRR1548851,SINGLE,TF
CHRM2.8,SRR1952440,SRR1952440,SINGLE,TF
EP400.4,SRR1952449,SRR1952449,SINGLE,TF
SUZ12.54,SRR1952451,SRR1952451,SINGLE,TF
SUZ12.55,SRR1952452,SRR1952452,SINGLE,TF
SUZ12.56,SRR1952454,SRR1952454,SINGLE,TF
RNF2.28,SRR1973556,SRR1973556,SINGLE,TF
RNF2.29,SRR2067628,SRR2067628,SINGLE,TF
SPI1.5,SRR2098958,SRR2098958,SINGLE,TF
SPI1.6,SRR2098960,SRR2098960,SINGLE,TF
TRIM28.12,SRR2098964,SRR2098964,SINGLE,TF
CTCF.23,SRR2121304,SRR2121304,SINGLE,TF
CTCF.24,SRR2121305,SRR2121305,SINGLE,TF
YY1.13,SRR2586833,SRR2586833,SINGLE,TF
YY1.14,SRR2586835,SRR2586835,SINGLE,TF
EP300.16,SRR1378717,SRR1378717,SINGLE,TF
POU5F1.33,SRR1378718,SRR1378718,SINGLE,TF
EP300.17,SRR1378725,SRR1378725,SINGLE,TF
POU5F1.34,SRR1378726,SRR1378726,SINGLE,TF
FOXD3.4,SRR1378768,SRR1378768,SINGLE,TF
